"Field","state1","state2","mat_elem1","mat_elem2"
11.35,"31,12,12.5,2.5","28,8,7.5,0.5",-2.01638222155303,19.9683500785951
11.45,"31,12,11.5,2.5","28,8,8.5,0.5",-0.00164553900190188,2.24767941879792
11.35,"31,12,12.5,2.5","28,8,8.5,0.5",-2.01638222155303,2.22721194565674
11.45,"31,11,10.5,2.5","28,9,8.5,0.5",-0.00104676347607486,-19.5453668137878
11.25,"31,11,11.5,2.5","28,9,8.5,0.5",2.0256261670462,-19.1576023222129
11.4,"31,11,10.5,2.5","28,9,9.5,0.5",0.00104978060617764,-2.17784417839245
11.25,"31,11,11.5,2.5","28,9,9.5,0.5",2.0256261670462,-2.14835610969232
11.4,"31,10,9.5,2.5","28,10,9.5,0.5",-0.000665461773753651,-18.9053964232866
11.2,"31,10,10.5,2.5","28,10,9.5,0.5",-2.04115169433012,-18.5272136980777
11.4,"31,10,9.5,2.5","28,10,10.5,0.5",-0.000665461773753651,-2.13000659444209
11.15,"31,10,10.5,2.5","28,10,10.5,0.5",-2.03190585276347,2.08330190682653
11.4,"31,9,8.5,2.5","28,11,10.5,0.5",-0.000379745551896443,-18.3978082165312
11.1,"31,9,9.5,2.5","28,11,10.5,0.5",-2.04380451948564,17.8445286590921
11.35,"31,9,8.5,2.5","28,11,11.5,0.5",0.000381876252638022,2.08551623897325
11.1,"31,9,9.5,2.5","28,11,11.5,0.5",-2.04380451948564,-2.04218036832943
11.35,"31,8,7.5,2.5","28,12,11.5,0.5",-0.000154631746416605,-17.8027258564851
11,"31,8,8.5,2.5","28,12,11.5,0.5",-2.04033341929904,17.1724084947855
11.35,"31,8,7.5,2.5","28,12,12.5,0.5",-0.000154631746416605,2.07734563262848
11,"31,8,8.5,2.5","28,12,12.5,0.5",-2.04033341929904,2.02610733127466
11.35,"31,7,6.5,2.5","28,13,12.5,0.5",-2.19860813364027e-05,-17.2491284205874
10.9,"31,7,7.5,2.5","28,13,12.5,0.5",-2.02397826318542,16.4446275703006
11.35,"31,7,6.5,2.5","28,13,13.5,0.5",-2.19860813364027e-05,-2.31461522397827
10.9,"31,7,7.5,2.5","28,13,13.5,0.5",-2.02397826318542,2.34857705547486
11.35,"31,6,5.5,2.5","28,14,13.5,0.5",-0.000139775218790402,1.64711374617565
10.85,"31,6,6.5,2.5","28,14,13.5,0.5",-1.98612012016034,1.52775988641068
11.35,"31,6,5.5,2.5","28,14,14.5,0.5",-0.000139775218790402,16.7643236349348
10.85,"31,6,6.5,2.5","28,14,14.5,0.5",-1.98612012016034,-15.914147980105
11.3,"31,5,4.5,2.5","28,15,14.5,0.5",-0.000187701928097681,-1.70540991035978
10.8,"31,5,5.5,2.5","28,15,14.5,0.5",-1.88043075116458,-1.60217884158748
11.3,"31,5,4.5,2.5","28,15,15.5,0.5",-0.000187701928097681,16.059155371488
10.95,"31,16,15.5,2.5","28,3,2.5,1.5",-1.79397658935812,4.69531949891995
10.9,"31,16,16.5,2.5","28,3,2.5,1.5",0.00257782278114907,4.69915798177005
11.2,"28,18,17.5,2.5","31,3,3.5,1.5",7.64748587907401,1.00769751118162
11.05,"28,18,18.5,2.5","31,3,3.5,1.5",0.00170149302116437,0.999723886930532
11.4,"28,17,16.5,2.5","31,4,4.5,1.5",-8.40332759689849,1.13766926642347
11.25,"28,17,17.5,2.5","31,4,4.5,1.5",0.00326563286755325,1.12650534177595
11.45,"31,13,13.5,2.5","28,7,7.5,1.5",2.00374643535817,6.76306097183564
11.45,"31,12,12.5,2.5","28,8,7.5,1.5",-2.03490240976865,-16.2574099900897
11.45,"31,12,11.5,2.5","28,8,8.5,1.5",-0.00164553900190188,6.52187344318341
11.35,"31,12,12.5,2.5","28,8,8.5,1.5",-2.01638222155303,6.45806064420475
11.35,"31,11,11.5,2.5","28,9,8.5,1.5",2.04419473120126,15.5395206215003
11.45,"31,11,10.5,2.5","28,9,9.5,1.5",-0.00104676347607486,-6.32421458504911
11.25,"31,11,11.5,2.5","28,9,9.5,1.5",2.0256261670462,-6.19969885988596
11.45,"31,10,9.5,2.5","28,10,9.5,1.5",0.000662928503695987,15.1986071876069
11.25,"31,10,10.5,2.5","28,10,9.5,1.5",-2.05039670079661,-14.8924659465122
11.4,"31,10,9.5,2.5","28,10,10.5,1.5",-0.000665461773753651,6.1226820236351
11.2,"31,10,10.5,2.5","28,10,10.5,1.5",-2.04115169433012,6.00144532524721
11.4,"31,9,8.5,2.5","28,11,10.5,1.5",-0.000379745551896443,14.6547307437918
11.15,"31,9,9.5,2.5","28,11,10.5,1.5",2.05291523225717,14.2806688522971
11.4,"31,9,8.5,2.5","28,11,11.5,1.5",-0.000379745551896443,5.96807151861983
11.1,"31,9,9.5,2.5","28,11,11.5,1.5",-2.04380451948564,-5.79131904316452
11.4,"31,8,7.5,2.5","28,12,11.5,1.5",0.000153052138560571,14.1805019165747
11.05,"31,8,8.5,2.5","28,12,11.5,1.5",-2.04916210666572,13.6688320831622
11.35,"31,8,7.5,2.5","28,12,12.5,1.5",-0.000154631746416605,-5.80090875856308
11,"31,8,8.5,2.5","28,12,12.5,1.5",-2.04033341929904,-5.60184566774722
11.35,"31,7,6.5,2.5","28,13,12.5,1.5",-2.19860813364027e-05,13.5039622806935
10.9,"31,7,7.5,2.5","28,13,12.5,1.5",-2.02397826318542,12.8158720826128
11.35,"31,7,6.5,2.5","28,13,13.5,1.5",-2.19860813364027e-05,5.90254107821767
10.9,"31,7,7.5,2.5","28,13,13.5,1.5",-2.02397826318542,5.75752694556294
11.35,"31,6,5.5,2.5","28,14,13.5,1.5",-0.000139775218790402,5.33411601629753
10.85,"31,6,6.5,2.5","28,14,13.5,1.5",-1.98612012016034,5.05879538013651
11.3,"31,6,5.5,2.5","28,14,14.5,1.5",-0.00013963467878724,-13.0641518658607
10.85,"31,6,6.5,2.5","28,14,14.5,1.5",-1.98612012016034,12.4426660655918
11.3,"31,5,4.5,2.5","28,15,14.5,1.5",-0.000187701928097681,5.15071683251474
11.3,"31,5,4.5,2.5","28,15,15.5,1.5",-0.000187701928097681,-12.4575629565424
10.95,"31,16,15.5,2.5","28,3,3.5,2.5",-1.79397658935812,10.5389410709312
