"index","Voltage","state"
247,12.3,"31,17,16.5,2.5,28,3,3.5,2.5"
245,12.2,"31,17,16.5,3.5,28,3,3.5,2.5"
248,12.35,"31,17,17.5,0.5,28,3,3.5,2.5"
247,12.3,"31,17,17.5,1.5,28,3,3.5,2.5"
245,12.2,"31,17,17.5,2.5,28,3,3.5,2.5"
234,11.65,"31,17,17.5,3.5,28,3,3.5,2.5"
210,10.45,"31,15,14.5,0.5,28,3,3.5,3.5"
210,10.45,"31,15,14.5,1.5,28,3,3.5,3.5"
210,10.45,"31,15,14.5,2.5,28,3,3.5,3.5"
209,10.4,"31,15,14.5,3.5,28,3,3.5,3.5"
210,10.45,"31,15,15.5,0.5,28,3,3.5,3.5"
210,10.45,"31,15,15.5,1.5,28,3,3.5,3.5"
209,10.4,"31,15,15.5,2.5,28,3,3.5,3.5"
203,10.1,"31,15,15.5,3.5,28,3,3.5,3.5"
233,11.6,"31,16,15.5,0.5,28,3,3.5,3.5"
233,11.6,"31,16,15.5,1.5,28,3,3.5,3.5"
233,11.6,"31,16,15.5,2.5,28,3,3.5,3.5"
232,11.55,"31,16,15.5,3.5,28,3,3.5,3.5"
233,11.6,"31,16,16.5,0.5,28,3,3.5,3.5"
233,11.6,"31,16,16.5,1.5,28,3,3.5,3.5"
232,11.55,"31,16,16.5,2.5,28,3,3.5,3.5"
223,11.1,"31,16,16.5,3.5,28,3,3.5,3.5"
260,12.95,"31,17,16.5,3.5,28,3,3.5,3.5"
260,12.95,"31,17,17.5,2.5,28,3,3.5,3.5"
248,12.35,"31,17,17.5,3.5,28,3,3.5,3.5"
210,10.45,"31,15,14.5,0.5,28,4,3.5,0.5"
210,10.45,"31,15,14.5,1.5,28,4,3.5,0.5"
210,10.45,"31,15,14.5,2.5,28,4,3.5,0.5"
209,10.4,"31,15,14.5,3.5,28,4,3.5,0.5"
210,10.45,"31,15,15.5,0.5,28,4,3.5,0.5"
210,10.45,"31,15,15.5,1.5,28,4,3.5,0.5"
209,10.4,"31,15,15.5,2.5,28,4,3.5,0.5"
202,10.05,"31,15,15.5,3.5,28,4,3.5,0.5"
234,11.65,"31,16,15.5,0.5,28,4,3.5,0.5"
234,11.65,"31,16,15.5,1.5,28,4,3.5,0.5"
234,11.65,"31,16,15.5,2.5,28,4,3.5,0.5"
232,11.55,"31,16,15.5,3.5,28,4,3.5,0.5"
234,11.65,"31,16,16.5,0.5,28,4,3.5,0.5"
234,11.65,"31,16,16.5,1.5,28,4,3.5,0.5"
232,11.55,"31,16,16.5,2.5,28,4,3.5,0.5"
223,11.1,"31,16,16.5,3.5,28,4,3.5,0.5"
250,12.45,"31,17,17.5,3.5,28,4,3.5,0.5"
216,10.75,"31,15,14.5,0.5,28,4,3.5,1.5"
216,10.75,"31,15,14.5,1.5,28,4,3.5,1.5"
216,10.75,"31,15,14.5,2.5,28,4,3.5,1.5"
216,10.75,"31,15,14.5,3.5,28,4,3.5,1.5"
216,10.75,"31,15,15.5,0.5,28,4,3.5,1.5"
216,10.75,"31,15,15.5,1.5,28,4,3.5,1.5"
216,10.75,"31,15,15.5,2.5,28,4,3.5,1.5"
208,10.35,"31,15,15.5,3.5,28,4,3.5,1.5"
242,12.05,"31,16,15.5,0.5,28,4,3.5,1.5"
242,12.05,"31,16,15.5,1.5,28,4,3.5,1.5"
242,12.05,"31,16,15.5,2.5,28,4,3.5,1.5"
240,11.95,"31,16,15.5,3.5,28,4,3.5,1.5"
242,12.05,"31,16,16.5,0.5,28,4,3.5,1.5"
242,12.05,"31,16,16.5,1.5,28,4,3.5,1.5"
240,11.95,"31,16,16.5,2.5,28,4,3.5,1.5"
231,11.5,"31,16,16.5,3.5,28,4,3.5,1.5"
259,12.9,"31,17,17.5,3.5,28,4,3.5,1.5"
206,10.25,"31,14,13.5,0.5,28,4,3.5,2.5"
206,10.25,"31,14,13.5,1.5,28,4,3.5,2.5"
206,10.25,"31,14,13.5,2.5,28,4,3.5,2.5"
206,10.25,"31,14,13.5,3.5,28,4,3.5,2.5"
206,10.25,"31,14,14.5,0.5,28,4,3.5,2.5"
206,10.25,"31,14,14.5,1.5,28,4,3.5,2.5"
206,10.25,"31,14,14.5,2.5,28,4,3.5,2.5"
228,11.35,"31,15,14.5,0.5,28,4,3.5,2.5"
228,11.35,"31,15,14.5,1.5,28,4,3.5,2.5"
228,11.35,"31,15,14.5,2.5,28,4,3.5,2.5"
228,11.35,"31,15,14.5,3.5,28,4,3.5,2.5"
228,11.35,"31,15,15.5,0.5,28,4,3.5,2.5"
228,11.35,"31,15,15.5,1.5,28,4,3.5,2.5"
228,11.35,"31,15,15.5,2.5,28,4,3.5,2.5"
220,10.95,"31,15,15.5,3.5,28,4,3.5,2.5"
258,12.85,"31,16,15.5,0.5,28,4,3.5,2.5"
257,12.8,"31,16,15.5,1.5,28,4,3.5,2.5"
257,12.8,"31,16,15.5,2.5,28,4,3.5,2.5"
255,12.7,"31,16,15.5,3.5,28,4,3.5,2.5"
257,12.8,"31,16,16.5,0.5,28,4,3.5,2.5"
257,12.8,"31,16,16.5,1.5,28,4,3.5,2.5"
255,12.7,"31,16,16.5,2.5,28,4,3.5,2.5"
244,12.15,"31,16,16.5,3.5,28,4,3.5,2.5"
206,10.25,"31,14,13.5,0.5,28,4,3.5,3.5"
206,10.25,"31,14,13.5,1.5,28,4,3.5,3.5"
206,10.25,"31,14,13.5,2.5,28,4,3.5,3.5"
206,10.25,"31,14,13.5,3.5,28,4,3.5,3.5"
206,10.25,"31,14,14.5,0.5,28,4,3.5,3.5"
206,10.25,"31,14,14.5,1.5,28,4,3.5,3.5"
206,10.25,"31,14,14.5,2.5,28,4,3.5,3.5"
228,11.35,"31,15,14.5,0.5,28,4,3.5,3.5"
228,11.35,"31,15,14.5,1.5,28,4,3.5,3.5"
228,11.35,"31,15,14.5,2.5,28,4,3.5,3.5"
228,11.35,"31,15,14.5,3.5,28,4,3.5,3.5"
228,11.35,"31,15,15.5,0.5,28,4,3.5,3.5"
228,11.35,"31,15,15.5,1.5,28,4,3.5,3.5"
228,11.35,"31,15,15.5,2.5,28,4,3.5,3.5"
220,10.95,"31,15,15.5,3.5,28,4,3.5,3.5"
258,12.85,"31,16,15.5,0.5,28,4,3.5,3.5"
257,12.8,"31,16,15.5,1.5,28,4,3.5,3.5"
257,12.8,"31,16,15.5,2.5,28,4,3.5,3.5"
255,12.7,"31,16,15.5,3.5,28,4,3.5,3.5"
257,12.8,"31,16,16.5,0.5,28,4,3.5,3.5"
257,12.8,"31,16,16.5,1.5,28,4,3.5,3.5"
255,12.7,"31,16,16.5,2.5,28,4,3.5,3.5"
244,12.15,"31,16,16.5,3.5,28,4,3.5,3.5"
208,10.35,"31,15,14.5,0.5,28,4,4.5,0.5"
208,10.35,"31,15,14.5,1.5,28,4,4.5,0.5"
208,10.35,"31,15,14.5,2.5,28,4,4.5,0.5"
207,10.3,"31,15,14.5,3.5,28,4,4.5,0.5"
208,10.35,"31,15,15.5,0.5,28,4,4.5,0.5"
208,10.35,"31,15,15.5,1.5,28,4,4.5,0.5"
207,10.3,"31,15,15.5,2.5,28,4,4.5,0.5"
232,11.55,"31,16,15.5,0.5,28,4,4.5,0.5"
232,11.55,"31,16,15.5,1.5,28,4,4.5,0.5"
231,11.5,"31,16,15.5,2.5,28,4,4.5,0.5"
230,11.45,"31,16,15.5,3.5,28,4,4.5,0.5"
232,11.55,"31,16,16.5,0.5,28,4,4.5,0.5"
231,11.5,"31,16,16.5,1.5,28,4,4.5,0.5"
230,11.45,"31,16,16.5,2.5,28,4,4.5,0.5"
221,11,"31,16,16.5,3.5,28,4,4.5,0.5"
259,12.9,"31,17,16.5,3.5,28,4,4.5,0.5"
259,12.9,"31,17,17.5,2.5,28,4,4.5,0.5"
247,12.3,"31,17,17.5,3.5,28,4,4.5,0.5"
210,10.45,"31,15,14.5,0.5,28,4,4.5,1.5"
210,10.45,"31,15,14.5,1.5,28,4,4.5,1.5"
210,10.45,"31,15,14.5,2.5,28,4,4.5,1.5"
209,10.4,"31,15,14.5,3.5,28,4,4.5,1.5"
210,10.45,"31,15,15.5,0.5,28,4,4.5,1.5"
210,10.45,"31,15,15.5,1.5,28,4,4.5,1.5"
209,10.4,"31,15,15.5,2.5,28,4,4.5,1.5"
202,10.05,"31,15,15.5,3.5,28,4,4.5,1.5"
234,11.65,"31,16,15.5,0.5,28,4,4.5,1.5"
234,11.65,"31,16,15.5,1.5,28,4,4.5,1.5"
234,11.65,"31,16,15.5,2.5,28,4,4.5,1.5"
232,11.55,"31,16,15.5,3.5,28,4,4.5,1.5"
234,11.65,"31,16,16.5,0.5,28,4,4.5,1.5"
234,11.65,"31,16,16.5,1.5,28,4,4.5,1.5"
232,11.55,"31,16,16.5,2.5,28,4,4.5,1.5"
223,11.1,"31,16,16.5,3.5,28,4,4.5,1.5"
250,12.45,"31,17,17.5,3.5,28,4,4.5,1.5"
216,10.75,"31,15,14.5,0.5,28,4,4.5,2.5"
216,10.75,"31,15,14.5,1.5,28,4,4.5,2.5"
216,10.75,"31,15,14.5,2.5,28,4,4.5,2.5"
216,10.75,"31,15,14.5,3.5,28,4,4.5,2.5"
